Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
14,EX2 Disc Col,100,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX2 Disc Col,101,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX3 Disc Col Control,102,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX3 Disc Col Control,103,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
14,EX3 Disc Col Control,104,SPN real things,Makin  ,2020,JoV,The extrastriate symmetry response can be elicited by flowers and landscapes as well as abstract shapes,"Makin, A. D. J., Rampone, G., Karakashevska, E. and Bertamini, M.",10.1167/jov.20.5.11
15,N/A,105,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
15,N/A,106,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
15,N/A,107,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
15,N/A,108,Glasses,Rampone,2020,EJN,Electrophysiological responses to regularity show specificity to global form: The case of Glass patterns,"Rampone, G. and Makin, A. D. J.",10.1111/ejn.14709
16,N/A,109,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
16,N/A,110,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
16,N/A,111,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
16,N/A,112,SPN priming black to white,Makin ,2020,EJN,Electrophysiological priming effects confirm that the extrastriate symmetry network is not gated by luminance polarity,"Makin, A. D. J., Piovesan, A., Tyson-Carr, J., Rampone, G., Derpsch, Y. and Bertamini, M.",10.1111/ejn.14966
